district,year,total,bus,subway,taxi,population,car_count,car_diff_year
강남구,2021,263148318,93477395,139523472,30147451,"533,042",235796,602
강남구,2022,293965811,103379977,161272441,29313393,"529,102",240480,4684
강남구,2023,306070238,104997484,175606259,25466495,"544,873",250445,9965
강남구,2024,322927844,111266706,179953430,31707708,"557,345",256099,5654
강동구,2021,87515237,32292610,45671791,9550836,"462,664",152003,6877
강동구,2022,93924693,35194304,49416957,9313432,"460,067",151875,-128
강동구,2023,94011660,35282772,51997375,6731513,"459,167",153678,1803
강동구,2024,102160042,38033929,55794880,8331233,"476,942",154522,844
강북구,2021,88255787,54255008,28068271,5932508,"299,182",75570,-511
강북구,2022,94283492,57994006,30445153,5844333,"293,660",75148,-422
강북구,2023,95421485,59000850,32266378,4154257,"288,113",75166,18
강북구,2024,97599102,60149464,32634332,4815306,"283,597",74169,-997
강서구,2021,125896852,52107668,62794479,10994705,"574,315",204246,-97
강서구,2022,136615826,55871596,69470943,11273287,"569,166",206352,2106
강서구,2023,141725103,57398643,75470439,8856021,"563,058",206104,-248
강서구,2024,147998353,58712738,78419782,10865833,"556,171",204600,-1504
관악구,2021,166188364,81960533,75428105,8799726,"485,699",118943,-509
관악구,2022,183319578,90076319,84916033,8327226,"486,752",118148,-795
관악구,2023,186640714,89284855,90767121,6588738,"481,956",118886,738
관악구,2024,191528043,91648849,92102308,7776886,"477,812",117936,-950
광진구,2021,95731490,29859594,56633974,9237922,"339,996",98658,-114
광진구,2022,107246102,33234902,64860255,9150945,"337,416",99126,468
광진구,2023,111528164,34809718,69506034,7212412,"335,554",97936,-1190
광진구,2024,115686552,36851896,70329994,8504662,"331,963",97218,-718
구로구,2021,123387880,60237240,56036771,7113869,"396,754",144667,906
구로구,2022,127504110,61042525,59580422,6881163,"395,315",146040,1373
구로구,2023,131422494,62850315,63065182,5506997,"392,405",148719,2679
구로구,2024,134451191,64242239,63648432,6560520,"388,169",147678,-1041
금천구,2021,66752284,42139004,19830665,4782615,"230,811",88945,1497
금천구,2022,70056965,45064854,20465940,4526171,"229,642",90508,1563
금천구,2023,71105776,46171676,21372019,3562081,"227,481",92223,1715
금천구,2024,71518788,45829736,21506116,4182936,"225,159",91975,-248
노원구,2021,108740071,46165813,52909026,9665232,"510,956",152701,533
